Category,AttributeID,AttributeName,Description,Example,Comments,Necessity,fish & shark,turtle,mammal,bird,Proposed by,Other notes,CF 1.6 globals Mapping,ACCD 1.3 Mapping,class
attachment,214,float_additional,Specify any additional floation used,,Float might be added to archival tags for external use.,optional,1,1,0,-1,Tim Lam,,,,
attachment,215,release_forced,"If a mechanical release is engaged at depth (too avoid crushing the tag), specify the mechanism and depth at which the release is engaged.",Wildlife Computers RD1800,,optional,1,-1,-1,-1,Tim Lam,,,,character
deployment,300,geospatial_lat_start,Latitude (decimal degree) of release/ deployment,,,required,1,1,1,1,Tim Lam,,,N/A:  geospatial_lat_min (Recommended),numeric
deployment,301,geospatial_lon_start,Longitude (decimal degree) of release/ deployment,,,required,1,1,1,1,Tim Lam,,,N/A:  geospatial_lon_min (Recommended),numeric
deployment,302,person_tagger_capture,Person responsible for tagging or surgery,,"Can be the name of vet, observer, crew, spear fisherman or scientist",required,1,1,1,1,Tim Lam,Some edits/additions to the Necessity made by IATTC (from  Recommended to Required),,,character
deployment,303,time_coverage_start,Local date time (yyyy-mm-dd hh:mm:ss) of release/ deployment,2017-07-11T18:24:23+00:00,http://en.wikipedia.org/wiki/ISO_8601,required,1,1,1,1,Tim Lam,,,time_coverage_start (Recommended),POSIXct
deployment,304,location_capture,Name or standard identifer of location,,,recommended,1,1,1,1,Tim Lam,,,,character
deployment,305,method_capture,Type of gear used to catch the animal,"Longline, purse seine, troll, trawl, rod and reel, handline, set net, trap, gillnet, harpoon, hoop net, anesthesia, tangle net, dip net, vertical line entanglement (commercial fisheries, aquaculture, mooring), dredge, pound net/weir (for turtles)",,recommended,1,1,1,1,Tim Lam,"http://www.spc.int/oceanfish/en/data-collection/241-data-collection-forms
https://www.iccat.int/en/ICCATManual.asp
",,,character
deployment,306,baitlure_capture,"Bait, chum, lure or decoy used",sardine,Use brand name and/ product when possible.,optional,1,0,-1,-1,Tim Lam,,,,character
deployment,307,cruise_capture,Name or standard identifer of cruise,,,optional,1,1,1,1,Tim Lam,,,,character
deployment,308,depth_m_capture,Depth (meters) at which the animal was caught,,Can use estimated depth from hook number on longline,optional,1,0,-1,-1,Tim Lam,,,,numeric
deployment,309,flag_capture,The vessel’s country of registration,,,optional,1,1,1,1,,,,,character
deployment,310,hook_capture,Type of hook used,18/0 circle,Use brand name and/ product when possible.,optional,1,0,-1,-1,Tim Lam,Some edits/additions to the Necessity made by IATTC (from Optional to Recommended),,,character
deployment,311,method_aboard,how was animal put aboard the vessel,"net, sling, lifted",,optional,1,1,1,-1,Dan Fuller,,,,character
deployment,312,othertags_capture,"List tag IDs for conventional, acoustic, PIT, band or satellite tags for multi-tagged situation, photoID, photo/video footage file names",Hallprint PAR007007,,optional,1,1,1,1,Tim Lam,Comma separated.,,,character
deployment,313,person_angler_capture,Person responsible for angling,,,optional,1,-1,-1,-1,Tim Lam,,,,character
deployment,314,school_capture,Type of school in which the animal was caught,"Free school, log, anchored FAD, drifting FAD",Include FAD number if possible.,optional,1,-1,-1,-1,Tim Lam,,,,character
deployment,315,seastate_capture,World Meteorological Organization sea state code (0-9),,Similar to Douglas Sea Scale ,optional,1,1,1,1,Tim Lam,,,,
deployment,316,set_float_capture,"If caught on longline, include set number and float number",,"It's very unlikely to tag turtle, bird/ mammal off longline.",optional,1,0,-1,-1,Tim Lam,,,,
deployment,317,station_capture,Name or standard identifer of station,,,optional,1,1,1,1,Tim Lam,,,,character
deployment,318,temp_degC_capture,Air or sea surface temperature (Celcius) when the animal was caught,,,optional,1,1,1,1,Tim Lam,Some edits/additions to the Necessity made by IATTC (from Optional to Recommended),,,numeric
deployment,319,vessel_capture,Name or standard identifer of vessel,,,optional,1,1,1,1,Tim Lam,,,,character
deployment,320,wind_knots_capture,Wind speed (knots) when the animal was caught,,,optional,1,1,1,1,Tim Lam,,,,
